account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Sabre,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/sabre/,
Safe-Guard,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/safe-guard/,
Safeguard Global,1,Accel-KKR,accel-kkr,no,official_site,,
Safeway,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Safeway,https://en.wikipedia.org/wiki/Safeway
Sagent Lending Technologies,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/sagent-lending-technologies/,
SailPoint,1,Thoma Bravo,thoma-bravo,no,official_site,,
Salary.com,1,Accel-KKR,accel-kkr,no,geig_article|official_site,,
Salsa Labs,1,Accel-KKR,accel-kkr,no,official_site,,
Salsify,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/salsify/,
Sandata Technologies,1,Accel-KKR,accel-kkr,no,official_site,,
Sandler O'Neill and Partners,1,Carlyle,carlyle,yes,wikipedia,https://en.wikipedia.org/wiki/Sandler_O%27Neill_and_Partners,https://en.wikipedia.org/wiki/Sandler_O%27Neill_and_Partners
Satixfy,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/satixfy,
Savista,1,Accel-KKR,accel-kkr,no,official_site,,
Savvymoney,1,Spectrum Equity,spectrum-equity,no,official_site,,
SBI General Insurance,1,Warburg Pincus,warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/SBI_General_Insurance,https://en.wikipedia.org/wiki/SBI_General_Insurance
Scandit,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/scandit/,
Scanntech,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/scanntech/,
SCG,1,Providence Equity Partners,providence-equity,yes,official_site,,
Schenck MPT,1,Hg,hg,no,official_site,,
Schoox,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/schoox/,
SCM Insurance Services,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/scm-insurance-services/,
Scopevisio,1,Hg,hg,no,official_site,,
Scout24,1,Hellman & Friedman,hellman-friedman,no,geig_article,,
